date_logged,sport,matchup,game_date,pick,pitcher,price,edge_pct,win_prob_pct,confidence,num_books,reasoning,result,date_graded
2026-07-08,baseball_mlb,Chicago Cubs @ Baltimore Orioles,,Chicago Cubs,,2.09,15.1,55.1,79,9,,WIN,2026-07-09
2026-07-08,baseball_mlb,Athletics @ Detroit Tigers,,Athletics,,2.34,17.2,50.0,84,9,,LOSS,2026-07-09
2026-07-08,baseball_mlb,Atlanta Braves @ Pittsburgh Pirates,,Atlanta Braves,,2.02,7.1,53.1,62,9,,WIN,2026-07-09
2026-07-08,baseball_mlb,Seattle Mariners @ Miami Marlins,,Miami Marlins,,2.18,12.4,51.5,65,1,,WIN,2026-07-09
2026-07-08,baseball_mlb,Houston Astros @ Washington Nationals,,Houston Astros,,2.18,7.1,49.2,59,9,,LOSS,2026-07-09
2026-07-08,baseball_mlb,Cleveland Guardians @ Minnesota Twins,,Cleveland Guardians,,2.14,9.4,51.1,69,9,,LOSS,2026-07-09
2026-07-08,baseball_mlb,Los Angeles Angels @ Texas Rangers,,Los Angeles Angels,,2.36,3.1,43.6,53,9,,LOSS,2026-07-09
2026-07-08,baseball_mlb,Colorado Rockies @ Los Angeles Dodgers,,Colorado Rockies,,2.91,10.8,38.1,65,8,,LOSS,2026-07-09
2026-07-09,baseball_mlb,Athletics @ Detroit Tigers,"Jul 09, 2026 10:41 PM UTC",Detroit Tigers,Framber Valdez,1.8,9.0,60.5,66,9,x,WIN,2026-07-10
2026-07-09,baseball_mlb,Seattle Mariners @ Miami Marlins,"Jul 09, 2026 10:41 PM UTC",Seattle Mariners,Bryce Miller,1.79,2.3,57.1,54,9,x,LOSS,2026-07-10
2026-07-09,baseball_mlb,Milwaukee Brewers @ St. Louis Cardinals,"Jul 09, 2026 11:46 PM UTC",Milwaukee Brewers,Logan Henderson,1.74,-0.4,57.3,53,9,x,WIN,2026-07-10
2026-07-09,baseball_mlb,Los Angeles Angels @ Texas Rangers,"Jul 10, 2026 12:06 AM UTC",Texas Rangers,Nathan Eovaldi,1.74,-2.2,56.4,52,9,x,WIN,2026-07-10
2026-07-09,baseball_mlb,Colorado Rockies @ San Francisco Giants,"Jul 10, 2026 01:46 AM UTC",San Francisco Giants,Carson Whisenhunt,1.77,-2.1,55.3,50,9,x,WIN,2026-07-10
2026-07-10,baseball_mlb,Philadelphia Phillies @ Detroit Tigers,"Jul 10, 2026 10:41 PM UTC",Detroit Tigers,Jack Flaherty,1.85,2.5,55.3,55,9,x,WIN,2026-07-11
2026-07-10,baseball_mlb,Kansas City Royals @ Baltimore Orioles,"Jul 10, 2026 11:06 PM UTC",Baltimore Orioles,Brandon Young,1.67,-0.7,59.3,54,9,x,WIN,2026-07-11
2026-07-10,baseball_mlb,Seattle Mariners @ Tampa Bay Rays,"Jul 10, 2026 11:11 PM UTC",Tampa Bay Rays,Nick Martinez,1.84,6.7,57.8,62,9,x,WIN,2026-07-11
2026-07-10,baseball_mlb,Boston Red Sox @ New York Mets,"Jul 10, 2026 11:16 PM UTC",Boston Red Sox,Sonny Gray,2.28,27.2,55.9,68,9,x,WIN,2026-07-11
2026-07-10,baseball_mlb,Athletics @ Chicago White Sox,"Jul 10, 2026 11:41 PM UTC",Chicago White Sox,Sean Burke,1.64,8.5,66.2,70,9,x,WIN,2026-07-11
2026-07-10,baseball_mlb,Los Angeles Angels @ Minnesota Twins,"Jul 11, 2026 12:11 AM UTC",Minnesota Twins,Zebby Matthews,1.68,5.4,62.6,63,9,x,LOSS,2026-07-11
2026-07-10,baseball_mlb,Atlanta Braves @ St. Louis Cardinals,"Jul 11, 2026 12:16 AM UTC",Atlanta Braves,Chris Sale,1.62,-4.1,59.3,54,9,x,LOSS,2026-07-11
2026-07-10,baseball_mlb,Colorado Rockies @ San Francisco Giants,"Jul 11, 2026 02:16 AM UTC",San Francisco Giants,Robbie Ray,1.66,4.8,63.2,63,9,x,WIN,2026-07-11
2026-07-11,baseball_mlb,Milwaukee Brewers @ Pittsburgh Pirates,"Jul 11, 2026 08:06 PM UTC",Milwaukee Brewers,Shane Drohan,1.76,4.4,59.2,60,9,x,LOSS,2026-07-12
2026-07-11,baseball_mlb,Athletics @ Chicago White Sox,"Jul 11, 2026 06:11 PM UTC",Chicago White Sox,Bryan Hudson,1.83,11.8,61.1,69,9,x,WIN,2026-07-12
2026-07-11,baseball_mlb,Los Angeles Angels @ Minnesota Twins,"Jul 11, 2026 06:11 PM UTC",Minnesota Twins,Joe Ryan,1.58,4.2,66.1,64,9,x,LOSS,2026-07-12
2026-07-11,baseball_mlb,Kansas City Royals @ Baltimore Orioles,"Jul 11, 2026 11:06 PM UTC",Baltimore Orioles,Kyle Bradish,1.65,-3.0,58.9,54,9,x,WIN,2026-07-12
